Unit Number,Customer Unit Number,Customer Name,Unit Type,VIN Number,Model Year,Vehicle Make,Vehicle Model,Submodel,Eng Make,Eng Model,Eng SN,Aftertreatment Number,Oil Type,Oil Capacity,ATF,Front Brake Type,Rear Brake Type,DPF Number,SCR Number,Centrifugal,Oil Filter,Fuel Filter,Fuel/Water Seperator,Cabin Air Filter,Engine Air Filter,DEF Filter,Dryer Cartridge,Wiper Blade Length,Steer Tires, Additional Tires,Drive Tires,Static Axle Make,Static Axle P/N,Lift Axle Make,Lift Axle P/N,Liftgate Make,Liftgate Model,Liftgate SN,Liftgate Capacity,Liftgate Power/Gravity Down,Reefer Make,Reefer Model,Reefer SN,Reefer Oil Filter,Reefer Fuel Filter,Reefer Second Fuel Filter,Reefer Air Filter,Reefer Belt1,Reefer Belt2,Reefer Belt3,Reefer Belt4,APU Make,APU Model,APU SN,APU Oil Filter,APU Fuel Filter,APU Air Filter,Body Manufacturer,Body Style,Body S/N,Door Manufacturer,Door S/N
272271,,"All Recycling, Inc. ",FSL,1XPCD49X9JD468794,2018,Peterbilt,567,,Cummins,X15,79981468,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272272,,"All Recycling, Inc. ",FSL,1XPCD49X0JD468795,2018,Peterbilt,567,,Cummins,X15,79981467,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272273,,"All Recycling, Inc. ",FSL,1XPCD49X2JD468796,2018,Peterbilt,567,,Cummins,X15,79981469,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272274,,"All Recycling, Inc. ",FSL,1XPCD49X4JD468797,2018,Peterbilt,567,,Cummins,X15,79981463,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272275,,"All Recycling, Inc. ",FSL,1XPCD49X6JD468798,2018,Peterbilt,567,,Cummins,X15,79981464,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272276,,"All Recycling, Inc. ",FSL,1XPCD49X8JD468799,2018,Peterbilt,567,,Cummins,X15,79981470,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272277,,"All Recycling, Inc. ",FSL,1XPCD49X0JD468800,2018,Peterbilt,567,,Cummins,X15,79981465,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272278,,"All Recycling, Inc. ",FSL,1NPCL40X8JD468781,2018,Peterbilt,567,,Cummins,X15,79981398,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272279,,"All Recycling, Inc. ",FSL,1NPCL40XXJD468782,2018,Peterbilt,567,,Cummins,X15,79981397,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",315/80R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272280,,"All Recycling, Inc. ",FSL,1NPCL40X1JD468783,2018,Peterbilt,567,,Cummins,X15,79981401,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",315/80R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272281,,"All Recycling, Inc. ",FSL,1NPCL40X3JD468784,2018,Peterbilt,567,,Cummins,X15,79981402,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",315/80R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272282,,"All Recycling, Inc. ",FSL,2NP2HJ7X1JM468973,2018,Peterbilt,337,,Cummins,ISL,74137261,A052T991,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272283,,,Rental,1XPCD49X6JD469157,2018,Peterbilt,567,,Cummins,X15,79977468,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272285,1015,"Bills Tool , Inc. ",FSL,1XPCD49X9JD473350,2018,Peterbilt,567,,Cummins,X15,79984116,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272286,,"Bills Tool , Inc. ",FSL,1XPCD49X0JD473351,2018,Peterbilt,567,,Cummins,X15,79984418,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272287,,"Colorado Eagle, LLC",CM,2XKHAN7X0CM308779,2012,Kenworth,T370,,Cummins,ISC,73236397,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272288,,"Colorado Eagle, LLC",CM,2XKHAN7X1CM308774,2012,Kenworth,T370,,Cummins,ISC,73231250,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272289,,"Colorado Eagle, LLC",CM,2XKHAJ7X7FM430052,2014,Kenworth,T370,,Cummins,ISL,73632472,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272290,,"Colorado Eagle, LLC",CM,2XKHAN7X9CM308778,2012,Kenworth,T370,,Cummins,ISC,73233284,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272291,,"Colorado Eagle, LLC",CM,2XKHAN7X5CM308776,2012,Kenworth,T370,,Cummins,ISC,73231850,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272292,,"Colorado Eagle, LLC",CM,1XKDD49X1AJ263899,2009,Kenworth,T800,,Cummins,X15,79360948,,,,,,,,,,BD50000JAB:BF,BF7760JAB:BF,BF7766JAB:BF,,P611696:DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272293,,"Colorado Eagle, LLC",CM,2XKHAN7X3CM308775,2012,Kenworth,T370,,Cummins,ISC,73231869,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272294,,"Colorado Eagle, LLC",CM,2XKHAN7X0BM295210,2011,Kenworth,T370,,Cummins,ISC,73160764,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272295,,"Colorado Eagle, LLC",CM,1HTMMAAN76H331340,2006,International,4300,,,,,,,,,,,,,,BD7250JAB:BF,,PF7779JAB:BF,,RS4636JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272297,,"Colorado Eagle, LLC",CM,2XKHAN7XXCM308773,2012,Kenworth,T370,,Cummins,ISC,73231249,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272298,,"Colorado Eagle, LLC",CM,1GRAA72217B704513,2008,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272299,,"Colorado Eagle, LLC",CM,1UYVS24048P490002,2007,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272300,,"Colorado Eagle, LLC",CM,1GRAA96207B704508,2006,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxon,BMRA,50674927,6600,Power Down,,,,,,,,,,,,,,,,,,,,,,
272301,,"Colorado Eagle, LLC",CM,1HHRTX428TM000468,1996,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272302,,"Colorado Eagle, LLC",CM,1HHRTX420XM000924,1999,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272303,,"Colorado Eagle, LLC",CM,1UYVS248XDP625001,2012,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272304,,"Colorado Eagle, LLC",CM,1UYVS2487AP868101,2009,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272305,,"Colorado Eagle, LLC",CM,1HHRTX2114M000310,2004,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272306,,"Colorado Eagle, LLC",CM,1HHRTX418AM000102,2010,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272307,,"Colorado Eagle, LLC",CM,1XKDD49X2BJ281619,2011,Kenworth,T800,,Cummins,,,,,,,,,,,,BD50000JAB:BF,BF7760JAB:BF,BF7766JAB:BF,,P611696:DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272308,,"Colorado Eagle, LLC",CM,1HHUTX428RM000361,1994,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272309,,"Colorado Eagle, LLC",CM,2XKHAN7X7CM308777,2012,Kenworth,T370,,Cummins,ISC,73231874,,,,,,,,,,BD7309JAB:BF,BF7924JAB:BF,BF1293SPSJAB:BF,,RS2863JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272310,,"Colorado Eagle, LLC",CM,1HTMMAAL55H681644,2006,International,4300,,Cummins,,,,,,,,,,,,B7030JAB:BF,BF988JAB:BF,BF788JAB:BF,,RS4636JAB:BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272311,,"Colorado Eagle, LLC",CM,1HHUTX218PM000772,1993,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272313,,"Colorado Eagle, LLC",CM,1C91ARG14MC002126,1991,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272314,,"Colorado Eagle, LLC",CM,1C91ARU21VC002163,1997,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272315,,"Colorado Eagle, LLC",CM,1HHRTX4271M000250,2001,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272317,,"Colorado Eagle, LLC",CM,1HHRTX426XM000927,1999,Utility,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272318,,THE STONE COLLECTION,Service,1NPGLU9X32D579406,2002,Peterbilt,385,,Caterpillar,C-12,2KS74394,,,,,,,,,,1R0716:CT,1R0749:CT,FF105FLG:FG,23-15619:PB,RS3516JAB:BF,,,"18""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272319,,THE STONE COLLECTION,CM,3C7WRNFL0GG229303,2016,Dodge,5500,,Cummins,6.7,,,,,,,,,,,LF3972FLG:FG,FS20089FLG:FG,FS53000FLG:FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272322,,Rampart Plumbing,FSL,1FDWF6DE3JDF00712,2018,Ford,F650,,Ford,6.7L,,,,,,,,,,,MU2Z6731C:FRD,HC4Z9N184B:FRD,,,BC3Z9601A:FRD,,,,,,,,,,,Maxon,GPTB,1708401478,3000,Power Down,,,,,,,,,,,,,,,,,,,,,,
272323,4641,TRIPLE S STEEL SUPPLY,FSL,1NPCLP9XXJD490186,2018,Peterbilt,567,,Paccar,MX13-13,Y148281,A052U921,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272329,,Monument Oil Co.,FSL,1XPXDP9X6JD494742,2018,Peterbilt,389,,Paccar,MX13-17,Y150767,A052U926,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,FS19765FLG:FG,5X013817:R29,RS5287XPJAB:BF,,,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272330,,Monument Oil Co.,FSL,1XPXDP9X8JD494743,2018,Peterbilt,389,,Paccar,MX13-17,Y150768,A052U926,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,FS19765FLG:FG,5X013817:R29,RS5287XPJAB:BF,,,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272336,535,TRANSPRO INC / PLC,FSL,1XPBDP9X7JD495425,2018,Peterbilt,579,,Paccar,MX13-17,Y150577,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272341,540,TRANSPRO INC / PLC,FSL,1XPBDP9X0JD495430,2018,Peterbilt,579,,Paccar,MX13-17,Y151401,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272343,542,TRANSPRO INC / PLC,FSL,1XPBDP9X4JD495432,2018,Peterbilt,579,,Paccar,MX13-17,Y151340,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272345,544,TRANSPRO INC / PLC,FSL,1XPBDP9X8JD495434,2018,Peterbilt,579,,Paccar,MX13-17,Y151409,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272349,548,TRANSPRO INC / PLC,FSL,1XPBDP9X5JD495438,2018,Peterbilt,579,,Paccar,MX13-17,Y151464,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272350,78,G&Z Transport LLC,FSL,1XPBDP9X7HD345664,2017,Peterbilt,579,,Paccar,MX13-13,Y100528,,,,,,,,,,1948921PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272352,,Chief Petroleum Co ,FSL,1XPBDP9X2JD496840,2018,Peterbilt,579,,Paccar,MX13-17,Y152449,A052U920,,,,,,,,,2234788PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,455/55R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272353,,Arvada Rent-Alls,FSL,1XPCD49X4KD267113,2019,Peterbilt,567,,Cummins,X15,80041695,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272355,,"B&B Blending, Inc. ",FSL,2NP2HM6X9KM273093,2019,Peterbilt,337,,Cummins,ISB,74281176,A052T994,,,,,,,,,LF3970FLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272357,,Adams Polishes LLC,FSL,2NP2HM6X2KM273095,2019,Peterbilt,337,,Cummins,ISB,74281435,A052T994,,,,,,,,,LF3970FLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",,,,,,,,Palfinger,ILT,12802312200,3500,Power Down,,,,,,,,,,,,,,,,,,,,,,
272358,,,Rental,1FDWF6DE8JDF06683,2018,Ford,F650,,Ford,6.7L,,,,,,,,,,,MU2Z6731C:FRD,HC4Z9N184B:FRD,,,BC3Z9601A:FRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272359,,,Rental,1FDWF6DEXJDF06684,2018,Ford,F650,,Ford,6.7L,,,,,,,,,,,MU2Z6731C:FRD,HC4Z9N184B:FRD,,,BC3Z9601A:FRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272360,,"SOLSBURY HILL, LLC.",FSL,2NP3LJ9XXKM605426,2019,Peterbilt,348,,Cummins,ISL,74306134,A052T991,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272361,,Ancon Marine,FSL,1XPCD49X0KD274303,2018,Peterbilt,567,,Cummins,X15,80052558,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272363,,,Rental,1XPCD49X4KD274305,2019,Peterbilt,567,,Cummins,X15,80052559,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272364,,,Rental,1XPBD49X9KD275350,2019,Peterbilt,579,,Cummins,X15,80053935,A052T700,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272365,,"SOLSBURY HILL, LLC.",FSL,1NPCX4EXXKD273490,2019,Peterbilt,567,,Cummins,X15,80068165,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",315/80R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272366,4642,TRIPLE S STEEL SUPPLY,FSL,1XPBD49X5KD268346,2019,Peterbilt,579,,Cummins,X15,80043390,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272367,,,Rental,1XPBD49X3KD606794,2019,Peterbilt,579,,Cummins,X15,80072913,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272368,,,Rental,1XPCD49X2KD274304,2019,Peterbilt,567,,Cummins,X15,80052561,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272369,70,G&Z Transport LLC,FSL,1XPCD40X0KD618189,2019,Peterbilt,567,,Cummins,X15,80077805,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272370,58,G&Z Transport LLC,FSL,1XPCD40X7KD618190,2019,Peterbilt,567,,Cummins,X15,80077804,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272371,72,G&Z Transport LLC,FSL,1XPCD40X9KD618191,2019,Peterbilt,567,,Cummins,X15,80077807,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272372,74,G&Z Transport LLC,FSL,1XPCD40X0KD618192,2019,Peterbilt,567,,Cummins,X15,80077806,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272373,76,G&Z Transport LLC,FSL,1XPCD40X2KD618193,2019,Peterbilt,567,,Cummins,X15,80079213,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272374,,"Colorado Eagle, LLC",CM,1XKDD49X1CJ308780,2012,Kenworth,W900,,Cummins,X15,79479413,,,,,,,,,,BD50000JAB:BF,BF7760JAB:BF,BF7766JAB:BF,,P611696:DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272375,123,ALL RECYCLING INC,CM,1XP5DB9X32D586306,2002,Peterbilt,379,,Caterpillar,C-15,6NZ64311,,,,,,,,,,1R0716:CT,1R0749:CT,FF105FLG:FG,23-15619:PB,AF25858FLG:FG,,,"18""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272381,120,G&Z Transport LLC,FSL,1XPCD40X7KD633448,2019,Peterbilt,567,,Cummins,X15,80100226,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272382,64,G&Z Transport LLC,FSL,1XPCD40X9KD633449,2019,Peterbilt,567,,Cummins,X15,80100228,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272383,68,G&Z Transport LLC,FSL,1XPCD40X5KD633450,2019,Peterbilt,567,,Cummins,X15,80100227,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272384,122,G&Z Transport LLC,FSL,1XPCD40X7KD633451,2019,Peterbilt,567,,Cummins,X15,80112491,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272385,66,G&Z Transport LLC,FSL,1XPCD40X9KD633452,2019,Peterbilt,567,,Cummins,X15,80112492,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272386,USE65,"Sunbelt s, Inc. ",CM,1XPCD49X4KD634625,2019,Peterbilt,567,,Cummins,X15,80096857,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272387,4643,TRIPLE S STEEL SUPPLY,FSL,2NP3LJ9X6KM641176,2019,Peterbilt,348,,Cummins,ISL,74422759,A052T994,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272388,,THE STONE COLLECTION,CM,3C7WRNFL1JG245341,2018,Dodge,5500,,Cummins,,,,,,,,,,,,LF3972FLG:FG,FS20089FLG:FG,FS53000FLG:FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272389,Jeremy,RTL Service,ST,1FD0X5HT6JEB85548,2018,Ford,F550,,Ford,6.7L,,,,,,,,,,,MU2Z6731C:FRD,LC3Z9N184A:FRD,,FL3Z19N619A:FRD,HC3Z9601A:FRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272390,,Sister Carmen,FSL,JALE5W16XJ7901848,2018,Isuzu,NQR,,Isuzu,,,,,,,,,,,,2-94654-200-0:IZ,2-94561-104-0:IZ,8-98037-481-0:IZ,,2-94561-113-0:IZ,,,,,,,,,,,Palfinger,ILM,100423172,3000,Gravity,Thermo King,T-680R-30,HTG1157493,,,,,,,,,,,,,,,,,,,
272391,,"SOLSBURY HILL, LLC.",FSL,2NP3LJ9XXKM643884,2019,Peterbilt,348,,Cummins,ISL,74426002,A052T991,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
