Unit Number,Customer Unit Number,Customer Name,Unit Type,VIN Number,Model Year,Vehicle Make,Vehicle Model,Submodel,Eng Make,Eng Model,Eng SN,Aftertreatment Number,Oil Type,Oil Capacity,ATF,Front Brake Type,Rear Brake Type,DPF Number,SCR Number,Centrifugal,Oil Filter,Fuel Filter,Fuel/Water Seperator,Cabin Air Filter,Engine Air Filter,DEF Filter,Dryer Cartridge,Wiper Blade Length,Steer Tires, Additional Tires,Drive Tires,Static Axle Make,Static Axle P/N,Lift Axle Make,Lift Axle P/N,Liftgate Make,Liftgate Model,Liftgate SN,Liftgate Capacity,Liftgate Power/Gravity Down,Reefer Make,Reefer Model,Reefer SN,Reefer Oil Filter,Reefer Fuel Filter,Reefer Second Fuel Filter,Reefer Air Filter,Reefer Belt1,Reefer Belt2,Reefer Belt3,Reefer Belt4,APU Make,APU Model,APU SN,APU Oil Filter,APU Fuel Filter,APU Air Filter,Body Manufacturer,Body Style,Body S/N,Door Manufacturer,Door S/N
149980,,"A. & L. Coors, Inc. ",FSL,2XP2AJ8X0MM743696,2021,Peterbilt,337,,Cummins,ISL,74639837,A062R526,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149981,,"A. & L. Coors, Inc. ",FSL,2XP2AJ8X2MM743697,2021,Peterbilt,337,,Cummins,ISL,74640209,A062R526,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS20081FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149995,,"Colorado Eagle, LLC",CM,1H2V04220LE014202,1990,Trailer,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272131,,,Rental,1XPBDP9X6FD257038,2015,Peterbilt,579,,Paccar,MX13-13,Y053042,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1009:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272132,,,Rental,1XPBDP9X8FD257039,2015,Peterbilt,579,,Paccar,MX13-13,Y053063,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1009:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272135,,,Rental,1XPBDP9X8FD257042,2015,Peterbilt,579,,Paccar,MX13-13,Y053292,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1009:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272138,4634,TRIPLE S STEEL SUPPLY,FSL,1XPBDP9X8FD270258,2015,Peterbilt,579,,Paccar,MX13-13,Y048696,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1009:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272156,,WW Feed & Supply LLC,FSL,1XPBDP9XXFD298630,2015,Peterbilt,579,,Paccar,MX13-13,Y064028,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1009:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272158,,"Offen Petroleum, Inc.",FSL,1XPBDP9XXFD299325,2016,Peterbilt,579,,Paccar,MX13-13,Y064313,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272163,,THERMO FLUIDS,FSL,1NPCX40X0GD327281,2016,Peterbilt,567,,Cummins,X15,79818293,A045N065,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,K37-1029:PB,SR2000092:PB,P621725:DF,,,"22""",315/80R22.5,275/80R22.5,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272165,4638,TRIPLE S STEEL SUPPLY,FSL,1XPBDP9X3GD337169,2016,Peterbilt,579,,Paccar,MX13-13,Y079888,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",315/80R22.5,275/80R22.5,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272166,4639,TRIPLE S STEEL SUPPLY,FSL,1XPBDP9XXGD337170,2016,Peterbilt,579,,Paccar,MX13-13,Y080024,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272167,4640,TRIPLE S STEEL SUPPLY,FSL,1XPBDP9X1GD337171,2016,Peterbilt,579,,Paccar,MX13-13,Y080126,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272168,,"Offen Petroleum, Inc.",FSL,1XPBDP9X9GD336561,2016,Peterbilt,579,,Paccar,MX13-13,Y080044,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272171,,THE STONE COLLECTION,FSL,1XPCD49X6GD359198,2016,Peterbilt,567,,Cummins,X15,79874833,A045N065,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272172,,"Offen Petroleum, Inc.",FSL,1XPBDP9X1GD359199,2016,Peterbilt,579,,Paccar,MX13-13,Y093506,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,FS19765FLG:FG,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272173,,THE STONE COLLECTION,FSL,1D9BG532XF1609045,2015,Trailer,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272176,2816,MIDWEST FLOOR COVERINGS,FSL,1XPBDP9X3GD362816,2016,Peterbilt,579,,Paccar,MX13-13,Y096572,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272178,2817,MIDWEST FLOOR COVERINGS,FSL,1XPBDP9X5GD362817,2016,Peterbilt,579,,Paccar,MX13-13,Y096542,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272182,2828,MIDWEST FLOOR COVERINGS,FSL,1XPBDP9X7GD362818,2016,Peterbilt,579,,Paccar,MX13-13,Y096532,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272183,,MOUNTAIN PRAIRIE LLC,FSL,1XPCD49X3HD411341,2017,Peterbilt,567,,Cummins,X15,79902307,A045N065,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,K37-1029:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272184,,MOUNTAIN PRAIRIE LLC,FSL,1XPCD49X5HD411342,2017,Peterbilt,567,,Cummins,X15,79904381,A045N065,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,K37-1029:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272185,2827,STERICYCLE INC,FSL,2NPNHM6X2HM414981,2017,Peterbilt,330,,Cummins,ISB,73964669,A048D324,,,,,,,,,LF3970FLG:FG,FF63054NNFLG:FG,FS1065FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272186,,STERICYCLE INC,FSL,2NPYHM5X6HM417980,2017,Peterbilt,325,,Cummins,ISB,73991130,A048D322,,,,,,,,,LF3970FLG:FG,FF63054NNFLG:FG,FS1065FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",245/70R19.5,,245/70R19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272212,,RAC Transport,FSL,1XPBDP9X8HD432408,2017,Peterbilt,579,,Paccar,MX13-13,Y114043,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272213,,RAC Transport,FSL,1XPBDP9XXHD432409,2017,Peterbilt,579,,Paccar,MX13-13,Y114074,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272214,,RAC Transport,FSL,1XPBDP9X6HD432410,2017,Peterbilt,579,,Paccar,MX13-13,Y113919,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272215,,RAC Transport,FSL,1XPBDP9X8HD432411,2017,Peterbilt,579,,Paccar,MX13-13,Y114100,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272216,,RAC Transport,FSL,1XPBDP9XXHD432412,2017,Peterbilt,579,,Paccar,MX13-13,Y113937,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272217,,"Colorado Eagle, LLC",FSL,2XP2AJ8X7HM440243,2017,Peterbilt,337,,Cummins,ISL,74023814,A040U854,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272218,,"Colorado Eagle, LLC",FSL,2XP2AJ8X9HM440244,2017,Peterbilt,337,,Cummins,ISL,74023773,A040U854,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272220,,"Colorado Eagle, LLC",FSL,1XPBDP9X5HD442989,2017,Peterbilt,579,,Paccar,MX13-13,Y120751,,,,,,,,,1922496PE:PB,1948921PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
